size,total_net_assets,net_annual_expenses,morningstar_rating,inception_date,portfolio_bonds,sectors_basic_materials,sectors_consumer_cyclical,sectors_financial_services,sectors_real_estate,sectors_consumer_defensive,sectors_healthcare,sectors_utilities,sectors_communication_services,sectors_energy,sectors_industrials,sectors_technology,price_earning,returns_2017,returns_2016,alpha,beta
Large,603550000,1.74,2,17/10/1993,0,2.17,6.51,15.48,0.98,12.37,12.82,4.99,3.15,7.36,7.46,26.72,13.93,16.35,10.45,-3.9,0.92
Large,603550000,1.73,2,26/10/1993,0,2.17,6.51,15.48,0.98,12.37,12.82,4.99,3.15,7.36,7.46,26.72,13.93,16.31,10.43,-3.86,0.92
Large,603550000,0.75,3,28/02/2005,0,2.17,6.51,15.48,0.98,12.37,12.82,4.99,3.15,7.36,7.46,26.72,13.93,17.45,11.58,-2.86,0.92
Large,603550000,1.08,2,28/02/2005,0,2.17,6.51,15.48,0.98,12.37,12.82,4.99,3.15,7.36,7.46,26.72,13.93,17.08,11.2,-3.2,0.92
Large,603550000,1.39,2,28/02/2005,0,2.17,6.51,15.48,0.98,12.37,12.82,4.99,3.15,7.36,7.46,26.72,13.93,16.73,10.85,-3.51,0.92
Large,603550000,0.73,3,30/09/1996,0,2.17,6.51,15.48,0.98,12.37,12.82,4.99,3.15,7.36,7.46,26.72,13.93,17.51,11.55,-2.86,0.92
Large,603550000,0.65,3,14/10/2013,0,2.17,6.51,15.48,0.98,12.37,12.82,4.99,3.15,7.36,7.46,26.72,13.93,17.57,11.7,-2.78,0.92
Large,11380000000,0.63,5,25/07/2013,0,2.18,20.83,13.34,0,6.85,14.91,0,0,1.65,8.2,32.03,22.48,32.39,4.72,2.91,1.07
Large,11380000000,0.78,4,9/4/2017,0,2.18,20.83,13.34,0,6.85,14.91,0,0,1.65,8.2,32.03,22.48,0,0,2.64,1.07
Large,11380000000,1.48,4,28/08/2003,0,2.18,20.83,13.34,0,6.85,14.91,0,0,1.65,8.2,32.03,22.48,31.27,3.84,2.06,1.07
Large,11380000000,0.63,4,9/4/2017,0,2.18,20.83,13.34,0,6.85,14.91,0,0,1.65,8.2,32.03,22.48,0,0,2.7,1.07
Small,36270000,2.06,3,27/01/2008,0,3.82,11.01,9.26,0,2.22,32.42,0,2.71,3.77,12.99,21.81,21.26,11.01,8.38,-2.22,0.98
Medium,968130000,0.75,4,25/01/2010,99.62,0,0,0,0,0,0,0,0,0,0,0,0,3.22,1.47,0.37,0.48
Medium,968130000,1.5,3,25/01/2010,99.62,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0.7,-0.38,0.48
Medium,968130000,0.6,4,25/01/2010,99.62,0,0,0,0,0,0,0,0,0,0,0,0,3.32,1.64,0.5,0.49
Medium,968130000,0.5,4,25/01/2010,99.62,0,0,0,0,0,0,0,0,0,0,0,0,3.52,1.64,0.64,0.47
Medium,968130000,0.5,4,25/01/2010,99.62,0,0,0,0,0,0,0,0,0,0,0,0,3.37,1.82,0.65,0.48
Small,345210000,1.16,3,3/9/1996,0,2.59,17.64,13.57,3.07,4.07,25.2,0,0.56,1.51,10.44,21.35,21.32,19.44,13,1.04,1.01
Large,254850000,1.45,3,7/12/2011,0,3.68,12.83,18.72,3.98,3.28,13.29,2.82,2.48,6.42,12.43,20.07,18.29,22.22,9.24,0.34,0.91
Large,254850000,2.2,3,7/12/2011,0,3.68,12.83,18.72,3.98,3.28,13.29,2.82,2.48,6.42,12.43,20.07,18.29,21.33,8.37,-0.42,0.91
Large,254850000,1.19,3,7/12/2011,0,3.68,12.83,18.72,3.98,3.28,13.29,2.82,2.48,6.42,12.43,20.07,18.29,22.56,9.51,0.61,0.91
Large,254850000,1.55,3,7/12/2011,0,3.68,12.83,18.72,3.98,3.28,13.29,2.82,2.48,6.42,12.43,20.07,18.29,22.05,9.13,0.22,0.92
Large,254850000,1.74,3,7/12/2011,0,3.68,12.83,18.72,3.98,3.28,13.29,2.82,2.48,6.42,12.43,20.07,18.29,21.77,8.92,0.06,0.91
Large,254850000,1.2,3,7/12/2011,0,3.68,12.83,18.72,3.98,3.28,13.29,2.82,2.48,6.42,12.43,20.07,18.29,22.48,9.5,0.58,0.92
Large,246350000,1.25,3,7/7/2005,0.86,4.54,4.67,22.48,0.35,21.95,25.5,0,4.11,4.35,3.05,9,15.2,17.4,6.93,-2.98,0.85
Large,246350000,1.03,3,8/7/1999,0.86,4.54,4.67,22.48,0.35,21.95,25.5,0,4.11,4.35,3.05,9,15.2,17.71,7.09,-2.79,0.84
Large,246350000,0.86,2,8/5/2012,0.86,4.54,4.67,22.48,0.35,21.95,25.5,0,4.11,4.35,3.05,9,15.2,17.91,7.27,-2.63,0.85
Medium,216230000,0.8,5,28/04/1994,98.29,0,0,0,0,0,0,0,0,0,0,0,0,5,0.65,0.21,0.84
Medium,216230000,1.55,3,28/04/1994,98.29,0,0,0,0,0,0,0,0,0,0,0,0,4.32,-0.19,-0.54,0.84
Medium,216230000,1.55,3,28/04/1994,98.29,0,0,0,0,0,0,0,0,0,0,0,0,4.33,-0.1,-0.55,0.85
Large,10880000,1.17,0,15/12/2015,0,0.96,16.79,19.83,18.64,1.02,1.68,3.36,3.78,1.07,17,15.86,9.04,38.27,0,0,0
Small,154130000,1.5,2,14/05/1998,0,54.33,4.65,3.86,0,12.31,0,0,4.51,9,9.1,2.24,12.09,17.37,70.71,13.01,0.54
Large,5440000,0.41,2,28/12/2008,11.87,5.74,11.62,17.2,3.3,7.77,12.51,2.88,3.74,5.35,11.42,18.47,13.1,20.94,8.17,-0.34,1.32
Large,6760000000,1.07,2,30/05/2005,0,3.25,9.28,28.17,0.07,6.26,11.96,1.4,3.58,15.62,11.22,9.19,13.1,16.54,15.43,-5.13,1.09
Medium,216230000,0.55,5,24/07/2016,98.29,0,0,0,0,0,0,0,0,0,0,0,0,5.37,0,0.37,0.84
Large,105680000,1.41,2,30/11/2016,0,1.6,9.41,14.42,3.53,11.08,11.43,3.68,3,5.8,6.97,29.1,16.98,0,0,-1.83,1.05
Large,105680000,0.96,2,31/07/2000,0,1.6,9.41,14.42,3.53,11.08,11.43,3.68,3,5.8,6.97,29.1,16.98,21.24,13.26,-1.4,1.05
Large,105680000,0.81,2,30/11/2016,0,1.6,9.41,14.42,3.53,11.08,11.43,3.68,3,5.8,6.97,29.1,16.98,0,0,-1.38,1.05
Large,105680000,1.66,2,30/11/2016,0,1.6,9.41,14.42,3.53,11.08,11.43,3.68,3,5.8,6.97,29.1,16.98,0,0,-2.07,1.05
Large,1000000,0.92,4,1/5/2005,0,6.28,19.3,19.34,0,8.6,6.65,0,0,7.17,22.12,10.53,16.85,16.82,15.33,-1.66,0.94
Large,31870000,0.5,4,30/04/2003,75.02,9.72,12.43,18.1,0,10.28,5.23,0,0,13.45,17.55,13.24,16.47,4.16,4.54,0.64,0.26
Large,559710000,1.08,5,30/04/2003,0,4.97,27.16,16.4,1.71,1.74,7.03,0,0,0,25.51,15.48,20.88,27.36,12.07,2.55,0.87
Medium,254570000,1.19,2,30/04/2001,0,2.83,13.4,13.75,8.28,9.84,5.15,0,0,5.86,23.52,17.37,16.04,17.73,16.44,-4.68,0.94
Large,63880000,1.25,2,29/04/2010,0,4.13,8.08,19.33,1.92,11.19,15.27,0,0,9.31,13.67,17.1,15.27,17.88,8.71,1.24,0.8
Small,154130000,1.7,4,25/02/2014,0,54.33,4.65,3.86,0,12.31,0,0,4.51,9,9.1,2.24,12.09,17.16,70.41,12.79,0.54
Small,7270000000,0.82,4,30/12/1998,0,5.8,14.87,26.12,3.53,3.23,3.71,2.02,0.26,7.07,19.5,13.87,14.16,8.67,26.77,-0.41,0.97
Large,1420000000,1.47,4,1/5/2006,33.87,0,0,0,0,0,0,0,0,0,0,0,13.98,7.42,-0.2,-4.69,0.8
Large,1420000000,2.23,4,1/5/2006,33.87,0,0,0,0,0,0,0,0,0,0,0,13.98,6.65,-0.95,-5.46,0.8
Large,1420000000,1.21,4,1/5/2006,33.87,0,0,0,0,0,0,0,0,0,0,0,13.98,7.7,0.06,-4.42,0.8
Large,1420000000,1.15,3,30/06/2013,33.87,0,0,0,0,0,0,0,0,0,0,0,13.98,7.77,0.19,-4.38,0.8
Large,3230000000,0.78,4,30/07/1997,0,0.95,4.55,23.96,0,10.84,19.6,1.07,3.65,17.88,7.35,10.15,14.7,8.67,20.41,-2.67,0.93
Others,112520000,1.08,2,2/9/2013,58.99,0,0,0,0,0,0,0,0,0,0,0,0,4.24,0.67,-3.96,0.38
Others,112520000,0.68,2,13/08/2013,58.99,0,0,0,0,0,0,0,0,0,0,0,0,4.75,0.95,-3.63,0.38
Small,7270000000,1.12,3,25/02/1999,0,5.8,14.87,26.12,3.53,3.23,3.71,2.02,0.26,7.07,19.5,13.87,14.16,8.34,26.36,-0.73,0.97
Medium,4650000,0.11,3,28/12/2008,58.4,0.46,2.55,8.81,46.3,1.23,0.76,14.22,5.67,16.7,3.31,0,15.46,10.03,8.92,-0.72,0.71
Medium,4650000,0,2,31/01/2018,58.4,0.46,2.55,8.81,46.3,1.23,0.76,14.22,5.67,16.7,3.31,0,15.46,0,0,-0.73,0.71
Large,5440000,0.46,2,28/12/2008,11.87,5.74,11.62,17.2,3.3,7.77,12.51,2.88,3.74,5.35,11.42,18.47,13.1,20.89,8.08,-0.39,1.31
Large,5440000,1.21,1,28/12/2008,11.87,5.74,11.62,17.2,3.3,7.77,12.51,2.88,3.74,5.35,11.42,18.47,13.1,19.97,7.32,-1.14,1.31
Large,5440000,0.16,2,28/12/2008,11.87,5.74,11.62,17.2,3.3,7.77,12.51,2.88,3.74,5.35,11.42,18.47,13.1,21.29,8.46,-0.09,1.31
Large,5440000,0.81,2,28/12/2008,11.87,5.74,11.62,17.2,3.3,7.77,12.51,2.88,3.74,5.35,11.42,18.47,13.1,20.47,7.78,-0.73,1.31
Large,5440000,0.06,2,28/12/2008,11.87,5.74,11.62,17.2,3.3,7.77,12.51,2.88,3.74,5.35,11.42,18.47,13.1,21.41,8.54,0,1.32
Medium,8360000000,0.76,5,1/8/2004,0,2.19,9.57,21.72,1.92,12.65,10.6,6.43,0.77,12.72,13.07,8.37,16.19,11.79,23.07,-0.02,0.87
Large,3230000000,0.63,3,25/07/2013,0,0.95,4.55,23.96,0,10.84,19.6,1.07,3.65,17.88,7.35,10.15,14.7,8.83,20.58,-2.49,0.92
Large,3230000000,0.78,4,9/4/2017,0,0.95,4.55,23.96,0,10.84,19.6,1.07,3.65,17.88,7.35,10.15,14.7,0,0,-2.74,0.92
Large,3230000000,1.48,3,28/07/2005,0,0.95,4.55,23.96,0,10.84,19.6,1.07,3.65,17.88,7.35,10.15,14.7,7.93,19.62,-3.34,0.93
Large,3230000000,0.63,4,9/4/2017,0,0.95,4.55,23.96,0,10.84,19.6,1.07,3.65,17.88,7.35,10.15,14.7,0,0,-2.7,0.92
Large,1360000000,0.85,3,1/9/2003,0,2.91,12.93,19.67,2.97,7.56,10.98,2.18,2.75,6.39,9.98,21.66,15.26,21.67,5.55,2.54,0.72
Large,1360000000,1.64,2,1/9/2003,0,2.91,12.93,19.67,2.97,7.56,10.98,2.18,2.75,6.39,9.98,21.66,15.26,20.71,4.82,1.77,0.72
Large,1360000000,1.62,2,1/9/2003,0,2.91,12.93,19.67,2.97,7.56,10.98,2.18,2.75,6.39,9.98,21.66,15.26,20.7,4.81,1.76,0.72
Large,1360000000,0.66,3,28/02/2005,0,2.91,12.93,19.67,2.97,7.56,10.98,2.18,2.75,6.39,9.98,21.66,15.26,21.87,5.79,2.73,0.72
Large,1360000000,0.99,3,28/02/2005,0,2.91,12.93,19.67,2.97,7.56,10.98,2.18,2.75,6.39,9.98,21.66,15.26,21.42,5.52,2.4,0.72
Large,1360000000,1.3,3,16/02/2004,0,2.91,12.93,19.67,2.97,7.56,10.98,2.18,2.75,6.39,9.98,21.66,15.26,21.06,5.12,2.08,0.72
Large,1360000000,0.6,3,1/9/2003,0,2.91,12.93,19.67,2.97,7.56,10.98,2.18,2.75,6.39,9.98,21.66,15.26,21.95,5.83,2.76,0.72
Large,943210000,0.78,5,30/11/2005,0,2.81,11.93,19.99,0,3.54,19.75,1.24,4.12,5.25,10.97,20.38,21.24,20.89,9.69,-0.66,1.02
Large,167790000,1.1,3,27/09/2007,0,4.98,15.18,17.66,2.68,0,18.66,0,0,0.99,9.68,30.16,33.25,32.06,-0.45,2.28,1.11
Large,331220000,0.73,4,26/06/2014,28.69,5.92,6.25,18.79,4.36,5.79,10.37,4.89,2.79,9,14.16,17.68,18.69,13.79,13.87,-0.78,1.17
Medium,582260000,0.87,2,26/06/2014,0,3.7,18.08,6.87,2.43,8.15,10.76,0,1.74,2.5,24.29,21.48,23.56,20.87,4.21,-4.05,0.93
Large,294870000,1.42,1,1/6/1994,0,7.11,7.3,24.39,1.83,10.97,11,3.13,4.17,0,14.99,15.11,18.86,34.46,-7.1,-0.27,0.95
Large,294870000,2.26,1,1/6/1994,0,7.11,7.3,24.39,1.83,10.97,11,3.13,4.17,0,14.99,15.11,18.86,33.36,-7.91,-1.09,0.95
Large,294870000,2.2,1,7/2/1995,0,7.11,7.3,24.39,1.83,10.97,11,3.13,4.17,0,14.99,15.11,18.86,33.51,-7.88,-1.05,0.95
Large,294870000,1.05,2,28/02/2005,0,7.11,7.3,24.39,1.83,10.97,11,3.13,4.17,0,14.99,15.11,18.86,35.02,-6.81,0.11,0.95
Large,294870000,1.4,1,28/02/2005,0,7.11,7.3,24.39,1.83,10.97,11,3.13,4.17,0,14.99,15.11,18.86,34.49,-7.13,-0.26,0.95
Large,294870000,1.71,1,28/02/2005,0,7.11,7.3,24.39,1.83,10.97,11,3.13,4.17,0,14.99,15.11,18.86,34.1,-7.4,-0.57,0.95
Large,294870000,1.17,1,30/09/1996,0,7.11,7.3,24.39,1.83,10.97,11,3.13,4.17,0,14.99,15.11,18.86,34.87,-6.94,-0.03,0.95
Large,887710000,1.22,2,28/12/2000,0,7.11,8.36,21.81,1.56,6.3,7.59,2.7,5.82,8.82,14.22,15.72,14.86,22.83,6.7,1.84,0.82
Large,887710000,1.97,2,28/12/2000,0,7.11,8.36,21.81,1.56,6.3,7.59,2.7,5.82,8.82,14.22,15.72,14.86,21.97,5.87,1.08,0.82
Large,1.03E+11,0.58,5,30/07/1952,0.14,3.99,7.62,18.1,1.47,7.57,13.11,2.66,4.69,10.14,13.13,17.52,16.54,20.19,13.41,0.22,0.94
Large,887710000,0.97,3,24/10/2005,0,7.11,8.36,21.81,1.56,6.3,7.59,2.7,5.82,8.82,14.22,15.72,14.86,23.14,7.07,2.14,0.82
Large,887710000,1.47,2,22/05/2011,0,7.11,8.36,21.81,1.56,6.3,7.59,2.7,5.82,8.82,14.22,15.72,14.86,22.54,6.45,1.58,0.82
Large,887710000,0.97,2,3/4/2017,0,7.11,8.36,21.81,1.56,6.3,7.59,2.7,5.82,8.82,14.22,15.72,14.86,0,0,1.94,0.82
Large,887710000,0.97,2,2/10/2008,0,7.11,8.36,21.81,1.56,6.3,7.59,2.7,5.82,8.82,14.22,15.72,14.86,23.14,6.98,2.09,0.82
Medium,662080000,1.33,5,30/03/2008,0,10.16,0,0,0,0,8.67,24.93,0,0,54,2.24,20.1,22.31,4.9,0,0.76
Medium,662080000,2.07,4,30/03/2008,0,10.16,0,0,0,0,8.67,24.93,0,0,54,2.24,20.1,21.35,4.11,-0.76,0.75
Medium,662080000,1.01,4,14/07/2008,0,10.16,0,0,0,0,8.67,24.93,0,0,54,2.24,20.1,22.71,5.13,0.3,0.75
Medium,662080000,1.04,5,30/03/2008,0,10.16,0,0,0,0,8.67,24.93,0,0,54,2.24,20.1,22.67,5.13,0.28,0.76
Large,108570000,1.1,1,29/04/2010,0,1.46,9.85,20.24,6.06,0,14.05,3.98,7.01,6.92,12.2,18.23,20.08,20.62,7.8,-5.07,1.03
Large,27010000,0.7,4,25/04/2016,0,11.23,13.49,22.59,1.6,9.04,7.78,2.39,2.73,7.8,13.98,7.36,12.1,25.44,0,0.16,0.92
Large,754980000,0.49,4,3/3/2004,11.6,3.63,10.97,20.53,1.93,7.88,12.66,2.31,4.06,5.87,9.42,20.76,15.81,22.31,6.25,-0.11,1.4
Medium,3450000000,0.27,3,14/04/2003,99.53,0,0,0,0,0,0,0,0,0,0,0,0,4.99,-0.17,-0.23,0.89
Large,27010000,1.46,3,25/04/2016,0,11.23,13.49,22.59,1.6,9.04,7.78,2.39,2.73,7.8,13.98,7.36,12.1,24.56,0,-0.59,0.93
Large,394530000,1.38,3,25/06/2000,0,8.51,18.8,19.22,0,13.35,13.69,0,1.98,2.41,9.51,12.53,17.07,25.62,-6.68,-1.51,0.9
Large,7750000,1.4,0,2/12/2015,0,7.83,10.37,29.86,6.41,4.91,2.29,0,3.39,3.45,3.64,27.84,10.59,39.87,0,0,0
Large,7750000,2.15,0,2/12/2015,0,7.83,10.37,29.86,6.41,4.91,2.29,0,3.39,3.45,3.64,27.84,10.59,38.76,0,0,0
Large,7750000,1.15,0,2/12/2015,0,7.83,10.37,29.86,6.41,4.91,2.29,0,3.39,3.45,3.64,27.84,10.59,40.19,0,0,0
Small,204110000,1.09,2,11/4/2010,94.87,0,0,0,0,0,0,0,0,0,100,0,0,5.62,13.67,1.63,0.33
Small,204110000,1.7,1,11/4/2010,94.87,0,0,0,0,0,0,0,0,0,100,0,0,5.03,12.86,1.01,0.32
Small,204110000,0.69,3,30/07/1996,94.87,0,0,0,0,0,0,0,0,0,100,0,0,6.08,14.01,2.06,0.32
Large,268280000,0.95,4,15/12/1991,36.18,5.42,19.75,16.12,2.19,4.08,12.28,0,1.7,8.81,5.34,24.32,16.69,15.2,6.2,-0.08,0.98
Small,204110000,0.67,2,11/4/2010,94.87,0,0,0,0,0,0,0,0,0,100,0,0,6.14,13.9,2.04,0.32
Small,204110000,1.44,1,11/4/2010,94.87,0,0,0,0,0,0,0,0,0,100,0,0,5.25,13.42,1.22,0.31
Small,204110000,0.86,2,11/4/2010,94.87,0,0,0,0,0,0,0,0,0,100,0,0,5.89,13.71,1.52,0.31
Large,63140000,1.05,3,8/5/2016,0,9.72,16.23,26.78,0,7.83,4.64,0.44,0,5,5.89,23.46,13.7,39.49,0,0.7,1.07
Small,595070000,0.85,3,30/01/2003,99.98,0,0,0,0,0,0,0,0,0,0,0,0,8.98,0.21,1.42,1.15
Small,595070000,1.6,1,23/07/2002,99.98,0,0,0,0,0,0,0,0,0,0,0,0,8.29,-0.54,0.66,1.15
Small,595070000,0.4,3,28/02/2010,99.98,0,0,0,0,0,0,0,0,0,0,0,0,9.47,0.66,1.87,1.15
Small,595070000,0.37,3,9/4/2017,99.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,1.15
Small,94660000,1.31,4,30/06/2013,0,2.02,20.07,12.25,3.83,4.06,20.55,2.14,1.48,4.35,14.85,14.4,16.91,20.8,15.07,1.99,0.89
Small,94660000,2.06,4,30/06/2013,0,2.02,20.07,12.25,3.83,4.06,20.55,2.14,1.48,4.35,14.85,14.4,16.91,19.83,14.24,1.23,0.89
Small,94660000,0.96,5,30/06/2013,0,2.02,20.07,12.25,3.83,4.06,20.55,2.14,1.48,4.35,14.85,14.4,16.91,21.22,15.46,2.32,0.89
Small,94660000,1.06,4,30/06/2013,0,2.02,20.07,12.25,3.83,4.06,20.55,2.14,1.48,4.35,14.85,14.4,16.91,21.03,15.39,2.24,0.89
Large,16870000,1.2,2,30/06/2013,22.89,5.42,5.78,15.18,5.51,5.69,0.38,0.29,4.43,13.4,14.54,29.39,13.75,9.78,4.59,-2.15,0.76
Large,16870000,1.93,2,30/06/2013,22.89,5.42,5.78,15.18,5.51,5.69,0.38,0.29,4.43,13.4,14.54,29.39,13.75,8.98,3.84,-2.93,0.76
Large,16870000,0.93,2,30/06/2013,22.89,5.42,5.78,15.18,5.51,5.69,0.38,0.29,4.43,13.4,14.54,29.39,13.75,0,0,-1.93,0.76
Large,16870000,1.03,2,30/06/2013,22.89,5.42,5.78,15.18,5.51,5.69,0.38,0.29,4.43,13.4,14.54,29.39,13.75,9.87,4.73,0,0
Large,79660000,0.7,2,8/7/2012,0,2.77,11.1,21.73,0,12.18,8.43,7.68,11.64,3.21,8.86,12.39,15.06,28.21,2.28,-1.63,0.9
Large,63140000,1.25,3,27/02/2014,0,9.72,16.23,26.78,0,7.83,4.64,0.44,0,5,5.89,23.46,13.7,39.09,2.78,0.72,1.07
Large,79660000,0.93,2,8/7/2012,0,2.77,11.1,21.73,0,12.18,8.43,7.68,11.64,3.21,8.86,12.39,15.06,27.91,2.12,-1.83,0.9
Large,79660000,0.6,2,1/9/2014,0,2.77,11.1,21.73,0,12.18,8.43,7.68,11.64,3.21,8.86,12.39,15.06,28.3,2.37,-1.53,0.9
Large,629840000,1.02,3,2/12/2012,0,2.68,12.07,16.93,2.24,7.41,14.05,2.91,3.12,6.24,10.35,22,16.86,5.19,3.62,0.42,0.19
Large,629840000,1.8,2,2/12/2012,0,2.68,12.07,16.93,2.24,7.41,14.05,2.91,3.12,6.24,10.35,22,16.86,4.41,2.82,-0.38,0.19
Large,629840000,0.74,3,2/12/2012,0,2.68,12.07,16.93,2.24,7.41,14.05,2.91,3.12,6.24,10.35,22,16.86,5.47,3.84,0.64,0.19
Large,629840000,0.79,3,2/12/2012,0,2.68,12.07,16.93,2.24,7.41,14.05,2.91,3.12,6.24,10.35,22,16.86,5.44,3.79,0.58,0.19
Large,629840000,0.68,3,1/12/2016,0,2.68,12.07,16.93,2.24,7.41,14.05,2.91,3.12,6.24,10.35,22,16.86,0,0,0.64,0.19
Large,159280000,1.22,4,17/12/2012,0,8.25,8.32,25.61,0.8,5.34,3.77,2.35,0,6.37,7.99,31.2,11.05,37.48,12.82,3.22,0.99
Large,159280000,1.95,4,17/12/2012,0,8.25,8.32,25.61,0.8,5.34,3.77,2.35,0,6.37,7.99,31.2,11.05,36.45,12,2.47,0.99
Large,159280000,0.95,4,17/12/2012,0,8.25,8.32,25.61,0.8,5.34,3.77,2.35,0,6.37,7.99,31.2,11.05,37.87,13.13,3.48,0.99
Large,159280000,1.05,4,17/12/2012,0,8.25,8.32,25.61,0.8,5.34,3.77,2.35,0,6.37,7.99,31.2,11.05,37.69,13.1,3.4,0.99
Large,3660000000,1.29,5,27/02/2007,31.02,2.5,16.19,7.41,0,7.17,14.39,1.68,2.05,3.76,14.2,30.65,16.61,13.45,9.53,-0.22,1.12
Large,3660000000,2.04,4,27/02/2007,31.02,2.5,16.19,7.41,0,7.17,14.39,1.68,2.05,3.76,14.2,30.65,16.61,12.63,8.75,-0.95,1.12
Large,3660000000,0.94,5,27/02/2007,31.02,2.5,16.19,7.41,0,7.17,14.39,1.68,2.05,3.76,14.2,30.65,16.61,13.87,9.84,0.13,1.12
Small,70580000,1.29,4,31/05/2010,0,7.5,10.65,20.94,8.71,4.41,12.72,2.24,0.54,0.6,16.01,15.69,13.19,9.09,27.71,2.59,0.85
Small,70580000,2.04,3,31/08/2010,0,7.5,10.65,20.94,8.71,4.41,12.72,2.24,0.54,0.6,16.01,15.69,13.19,8.3,26.74,1.83,0.85
Small,70580000,0.89,4,31/05/2010,0,7.5,10.65,20.94,8.71,4.41,12.72,2.24,0.54,0.6,16.01,15.69,13.19,9.52,28.2,2.98,0.85
Small,70580000,1.27,4,31/05/2010,0,7.5,10.65,20.94,8.71,4.41,12.72,2.24,0.54,0.6,16.01,15.69,13.19,9.13,27.71,2.6,0.85
Small,70580000,0.99,4,31/05/2010,0,7.5,10.65,20.94,8.71,4.41,12.72,2.24,0.54,0.6,16.01,15.69,13.19,9.45,28.08,2.9,0.85
Large,269170000,1.55,2,31/03/1996,99.1,0,0,0,0,0,0,0,0,0,0,0,0,3.23,-0.89,-1.36,0.83
Large,269170000,0.7,4,12/3/1986,99.1,0,0,0,0,0,0,0,0,0,0,0,0,4.18,-0.13,-0.47,0.83
Large,269170000,0.55,5,31/03/1996,99.1,0,0,0,0,0,0,0,0,0,0,0,0,4.27,0.11,-0.36,0.84
Large,2470000,1.25,4,2/12/2012,0,2.68,12.08,16.97,2.22,7.42,14.05,2.89,3.12,6.23,10.35,22,16.85,13.25,5.6,-3.3,0.62
Large,2470000,2,3,2/12/2012,0,2.68,12.08,16.97,2.22,7.42,14.05,2.89,3.12,6.23,10.35,22,16.85,12.43,4.76,-4.05,0.62
Large,2470000,1,4,2/12/2012,0,2.68,12.08,16.97,2.22,7.42,14.05,2.89,3.12,6.23,10.35,22,16.85,13.51,5.81,-3.06,0.62
Large,2470000,1.1,4,2/12/2012,0,2.68,12.08,16.97,2.22,7.42,14.05,2.89,3.12,6.23,10.35,22,16.85,13.38,5.77,-3.15,0.62
Large,342980000,0.45,3,20/12/2006,15.15,4.97,12,18.16,4.53,5.89,10.14,3.46,2.55,5.85,12.78,19.67,16.11,17.03,6.55,-1.78,1.3
Large,2570000000,1.01,3,6/4/2008,0,1.6,9.47,10.06,0,31.34,23,0,7.21,0,11.56,5.77,15.43,19.54,5.67,1.57,0.64
Large,1440000,2,1,30/10/2005,0,1.99,1.74,32.84,2.67,29.08,19.36,0,4.86,4.3,0,3.15,13.96,11.26,6.52,-6.73,0.66
Large,120170000,0.05,3,29/05/2014,10.86,4.28,12.86,17.59,3.44,9.4,13.43,3.16,3.03,4.72,11.37,16.74,16.19,18.7,7.23,-1.58,1.4
Large,120170000,0,3,29/05/2014,10.86,4.28,12.86,17.59,3.44,9.4,13.43,3.16,3.03,4.72,11.37,16.74,16.19,18.78,7.41,-1.41,1.4
Large,120170000,0.55,3,29/05/2014,10.86,4.28,12.86,17.59,3.44,9.4,13.43,3.16,3.03,4.72,11.37,16.74,16.19,18.05,6.71,-2.11,1.41
Large,120170000,0.3,3,29/05/2014,10.86,4.28,12.86,17.59,3.44,9.4,13.43,3.16,3.03,4.72,11.37,16.74,16.19,18.34,7,-1.89,1.41
Large,89620000,1.33,3,15/02/2005,0,0,0,0,0,0,0,0,0,100,0,0,19.51,2.06,26.88,-7,1.1
Large,89620000,2.05,3,15/02/2005,0,0,0,0,0,0,0,0,0,100,0,0,19.51,1.44,25.77,-7.74,1.11
Large,16840000,1.76,4,28/04/2011,0,6.96,8.02,32.92,3.21,0,4.19,3.27,5.79,9.77,8.68,17.2,11.62,36.7,13.55,2.53,0.93
Large,89620000,0.91,4,15/02/2005,0,0,0,0,0,0,0,0,0,100,0,0,19.51,2.45,27.34,-6.59,1.11
Large,296870000,0.51,4,20/12/2006,37.75,3.89,12.07,18.69,3.04,5.56,10.81,2.67,3,5.99,11.44,22.85,16.27,7.56,2.82,-0.69,0.42
Large,89620000,1.33,4,15/02/2005,0,0,0,0,0,0,0,0,0,100,0,0,19.51,2.15,26.76,-7.02,1.11
Small,69310000,1.24,3,26/05/2014,0,7.66,12.32,28.27,6.94,1.24,9.34,5.51,0.45,5.73,12.82,9.71,14.78,8.91,22.94,-2.69,1.16
Large,9760000,1.17,1,28/12/2011,0,6.74,12.63,15.29,2.73,11.85,12.97,0,1.9,5.74,11.54,18.61,17.42,19.98,9.01,-3.21,0.88
Large,137750000,0.9,5,26/05/2014,0,2.76,10.4,14.52,6.12,5.76,11.58,7.53,4.37,7.9,7.25,21.81,14.25,21.65,15.1,-0.52,1.01
Small,13360000,1.03,3,31/01/2008,89.02,0,0,0,0,0,0,0,0,0,0,0,0,5.28,12.57,3.8,0.33
Large,51560000,1.1,3,26/05/2014,0,0.55,6.21,20.22,6.27,12.04,17.62,14.97,8.53,3.13,6.29,4.17,14.97,17.52,5.77,2.9,0.59
Large,1580000000,1.03,3,29/06/2004,0,0,15.68,10.85,3.36,3.43,26.68,0,4.01,6.46,10.11,19.41,14.7,20.64,15.39,-2.18,0.99
