size,total_net_assets,net_annual_expenses,morningstar_rating,inception_date,portfolio_bonds,sectors_basic_materials,sectors_consumer_cyclical,sectors_financial_services,sectors_real_estate,sectors_consumer_defensive,sectors_healthcare,sectors_utilities,sectors_communication_services,sectors_energy,sectors_industrials,sectors_technology,price_earning,returns_2017,returns_2016,alpha,beta
Large,6760000000,0.6,3,16/07/1987,0,3.25,9.28,28.17,0.07,6.26,11.96,1.4,3.58,15.62,11.22,9.19,13.1,17.07,15.98,-4.66,1.09
Medium,45870000,1.25,0,31/03/2016,0,3.82,13.88,17.69,7.56,3.91,11.69,4.11,0,3.95,20.15,13.25,17.49,15.49,0,0,0
Large,1020000000,0.19,2,29/04/2004,13.11,4.1,13.39,17.46,5.62,10.45,10.3,5.03,3.2,6.28,11.08,13.09,15.63,16.26,9.45,-1.24,1.25
Large,1020000000,0.8,2,29/04/2004,13.11,4.1,13.39,17.46,5.62,10.45,10.3,5.03,3.2,6.28,11.08,13.09,15.63,15.43,8.82,-1.87,1.25
Large,1020000000,0.45,2,24/09/2009,13.11,4.1,13.39,17.46,5.62,10.45,10.3,5.03,3.2,6.28,11.08,13.09,15.63,15.9,9.12,-1.51,1.24
Large,16290000000,0.34,5,31/01/2007,35.68,4.56,11.72,16.02,1.75,9.13,12.73,3.02,3.97,8.62,10.12,18.37,16.19,14.95,6.95,-0.04,1.04
Large,1020000000,0.3,2,2/10/2008,13.11,4.1,13.39,17.46,5.62,10.45,10.3,5.03,3.2,6.28,11.08,13.09,15.63,16.08,9.38,-1.37,1.25
Large,63140000,1.55,3,28/12/2010,0,9.72,16.23,26.78,0,7.83,4.64,0.44,0,5,5.89,23.46,13.7,38.7,2.42,0.36,1.07
Others,1040000,0,0,25/12/2017,99.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large,3180000000,0.66,4,27/02/2017,0,9.42,9.3,19.99,1.89,8,11.49,2.37,7.09,10.23,14.03,6.2,14.36,0,0,-1.1,0.92
Large,1020000000,0.2,2,3/4/2017,13.11,4.1,13.39,17.46,5.62,10.45,10.3,5.03,3.2,6.28,11.08,13.09,15.63,0,0,-1.24,1.25
Large,17420000000,0.34,5,31/01/2007,25.24,4.65,12.37,15.94,1.64,8.83,12.9,2.8,3.68,8.17,10.15,18.84,16.36,18.1,7.31,-0.05,1.24
Large,13730000000,0.33,5,31/01/2007,15.37,4.68,13.16,15.77,1.52,8.49,13.13,2.59,3.38,7.71,10.12,19.47,16.54,20.67,7.7,0.38,1.36
Large,6760000000,0.92,3,31/07/1994,0,3.25,9.28,28.17,0.07,6.26,11.96,1.4,3.58,15.62,11.22,9.19,13.1,16.7,15.6,-4.99,1.09
Large,11950000000,0.34,5,31/01/2007,11.87,4.68,13.36,15.73,1.44,8.35,13.25,2.5,3.28,7.59,10.13,19.69,16.58,21.62,7.79,0.56,1.4
Small,207390000,0.9,2,30/05/2013,95.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0.44
Large,8420000000,0.33,5,31/01/2007,10.41,4.68,13.37,15.75,1.29,8.24,13.34,2.4,3.24,7.55,10.21,19.93,16.58,22.01,7.91,0.66,1.42
Large,89770000,0.97,4,7/1/1997,51.89,7.2,15.53,17.68,10.38,4.9,9.3,1.9,3.53,7.2,9.25,13.14,17.57,8.98,6.7,0.15,0.64
